"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 09 13:25:49 GMT 2021","Mon Aug 09 13:26:04 GMT 2021","15670","","registration.RegTest","","registration.RegTest","RegistrationTest","RegistrationTest()",""
"passed","Mon Aug 09 13:22:15 GMT 2021","Mon Aug 09 13:22:37 GMT 2021","22195","","repeatedAndSequentialDataInputFromSource.DataInputFromSourceTest","","repeatedAndSequentialDataInputFromSource.DataInputFromSourceTest","ShareSomethingOnTheWallTest","ShareSomethingOnTheWallTest()",""
"passed","Mon Aug 09 13:23:45 GMT 2021","Mon Aug 09 13:24:04 GMT 2021","18499","","dataDownloading.DownloadAgisInformationTest","","dataDownloading.DownloadAgisInformationTest","DownloadAgisInformationTesting","DownloadAgisInformationTesting()",""
"passed","Mon Aug 09 13:25:26 GMT 2021","Mon Aug 09 13:25:37 GMT 2021","11604","","login.LoginTest","","login.LoginTest","LoginTesting","LoginTesting()",""
"passed","Mon Aug 09 13:25:37 GMT 2021","Mon Aug 09 13:25:49 GMT 2021","11112","","privacyStatementUsage.StatementTest","","privacyStatementUsage.StatementTest","StatementReadingSavingTest","StatementReadingSavingTest()",""
"passed","Mon Aug 09 13:23:25 GMT 2021","Mon Aug 09 13:23:45 GMT 2021","20653","","dataModification.ModificationTest","","dataModification.ModificationTest","ModificationOurProfilTest","ModificationOurProfilTest()",""
"passed","Mon Aug 09 13:24:31 GMT 2021","Mon Aug 09 13:25:00 GMT 2021","28979","","severalPagesAccessing.turnOverTest","","severalPagesAccessing.turnOverTest","SearchingForFriendsAdvancedTest","SearchingForFriendsAdvancedTest()",""
"passed","Mon Aug 09 13:23:07 GMT 2021","Mon Aug 09 13:23:25 GMT 2021","17462","","logout.LogOutTest","","logout.LogOutTest","LoggingOutTest","LoggingOutTest()",""
"passed","Mon Aug 09 13:24:04 GMT 2021","Mon Aug 09 13:24:31 GMT 2021","27191","","newDataInput.InputNewDataTest","","newDataInput.InputNewDataTest","WritingAMessageTest","WritingAMessageTest()",""
"passed","Mon Aug 09 13:22:37 GMT 2021","Mon Aug 09 13:23:07 GMT 2021","30027","","listingDatas.DatasListingTest","","listingDatas.DatasListingTest","ClickingWhomCouldIKnowTest","ClickingWhomCouldIKnowTest()",""
"failed","Mon Aug 09 13:25:00 GMT 2021","Mon Aug 09 13:25:26 GMT 2021","25864","","dataAndDatasDeleting.PictureUploadAndDeleteTest","","dataAndDatasDeleting.PictureUploadAndDeleteTest","PictureUploadAndDeleteTesting","PictureUploadAndDeleteTesting()",""
