"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 06 22:24:12 GMT 2021","Fri Aug 06 22:24:32 GMT 2021","19754","","registration.RegTest","","registration.RegTest","Registration","Registration()",""
"broken","Fri Aug 06 22:21:42 GMT 2021","Fri Aug 06 22:22:21 GMT 2021","38564","","listingDatas.DatasListingTest","","listingDatas.DatasListingTest","clickingWhomCouldIKnow","clickingWhomCouldIKnow()",""
"passed","Fri Aug 06 22:23:08 GMT 2021","Fri Aug 06 22:23:31 GMT 2021","22443","","severalPagesAccessing.turnOverTest","","severalPagesAccessing.turnOverTest","searchingForFriends","searchingForFriends()",""
"passed","Fri Aug 06 22:22:09 GMT 2021","Fri Aug 06 22:22:21 GMT 2021","11772","","logout.LogOutTest","","logout.LogOutTest","LogOutTest","LogOutTest()",""
"passed","Fri Aug 06 22:21:42 GMT 2021","Fri Aug 06 22:22:09 GMT 2021","26852","","repeatedAndSequentialDataInputFromSource.DataInputFromSourceTest","","repeatedAndSequentialDataInputFromSource.DataInputFromSourceTest","DataInputFromSource","DataInputFromSource()",""
"passed","Fri Aug 06 22:22:35 GMT 2021","Fri Aug 06 22:22:48 GMT 2021","12603","","dataDownloading.DownloadAgisInformationTest","","dataDownloading.DownloadAgisInformationTest","DownloadAgisInformation","DownloadAgisInformation()",""
"passed","Fri Aug 06 22:22:21 GMT 2021","Fri Aug 06 22:22:35 GMT 2021","13982","","dataModification.ModificationTest","","dataModification.ModificationTest","ModificationTest","ModificationTest()",""
"passed","Fri Aug 06 22:23:51 GMT 2021","Fri Aug 06 22:24:02 GMT 2021","10476","","login.LoginTest","","login.LoginTest","Login","Login()",""
"passed","Fri Aug 06 22:22:48 GMT 2021","Fri Aug 06 22:23:08 GMT 2021","20735","","newDataInput.InputNewDataTest","","newDataInput.InputNewDataTest","writeANewMessage","writeANewMessage()",""
"passed","Fri Aug 06 22:24:02 GMT 2021","Fri Aug 06 22:24:12 GMT 2021","10485","","privacyStatementUsage.StatementTest","","privacyStatementUsage.StatementTest","StatementReadingSaving","StatementReadingSaving()",""
"failed","Fri Aug 06 22:23:31 GMT 2021","Fri Aug 06 22:23:51 GMT 2021","20350","","dataAndDatasDeleting.PictureUploadAndDeleteTest","","dataAndDatasDeleting.PictureUploadAndDeleteTest","ModificationTest","ModificationTest()",""
