"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 06 17:54:40 GMT 2021","Fri Aug 06 17:54:43 GMT 2021","3145","","dataModification.ModificationTest","","dataModification.ModificationTest","ModificationTest","ModificationTest()",""
"broken","Fri Aug 06 17:54:25 GMT 2021","Fri Aug 06 17:54:33 GMT 2021","8067","","repeatedAndSequentialDataInputFromSource.DataInputFromSourceTest","","repeatedAndSequentialDataInputFromSource.DataInputFromSourceTest","DataInputFromSource","DataInputFromSource()",""
"broken","Fri Aug 06 17:54:36 GMT 2021","Fri Aug 06 17:54:39 GMT 2021","3142","","logout.LogOutTest","","logout.LogOutTest","LogOutTest","LogOutTest()",""
"broken","Fri Aug 06 17:55:02 GMT 2021","Fri Aug 06 17:55:05 GMT 2021","3127","","registration.RegTest","","registration.RegTest","Registration","Registration()",""
"broken","Fri Aug 06 17:54:49 GMT 2021","Fri Aug 06 17:54:52 GMT 2021","3149","","severalPagesAccessing.turnOverTest","","severalPagesAccessing.turnOverTest","searchingForFriends","searchingForFriends()",""
"broken","Fri Aug 06 17:54:52 GMT 2021","Fri Aug 06 17:54:55 GMT 2021","3139","","dataAndDatasDeleting.PictureUploadAndDeleteTest","","dataAndDatasDeleting.PictureUploadAndDeleteTest","ModificationTest","ModificationTest()",""
"broken","Fri Aug 06 17:54:55 GMT 2021","Fri Aug 06 17:54:58 GMT 2021","3152","","login.LoginTest","","login.LoginTest","Login","Login()",""
"broken","Fri Aug 06 17:54:58 GMT 2021","Fri Aug 06 17:55:02 GMT 2021","3149","","privacyStatementUsage.StatementTest","","privacyStatementUsage.StatementTest","StatementReadingSaving","StatementReadingSaving()",""
"broken","Fri Aug 06 17:54:43 GMT 2021","Fri Aug 06 17:54:46 GMT 2021","3151","","dataDownloading.DownloadAgisInformationTest","","dataDownloading.DownloadAgisInformationTest","DownloadAgisInformation","DownloadAgisInformation()",""
"broken","Fri Aug 06 17:54:46 GMT 2021","Fri Aug 06 17:54:49 GMT 2021","3148","","newDataInput.InputNewDataTest","","newDataInput.InputNewDataTest","writeANewMessage","writeANewMessage()",""
"broken","Fri Aug 06 17:54:33 GMT 2021","Fri Aug 06 17:54:36 GMT 2021","3154","","listingDatas.DatasListingTest","","listingDatas.DatasListingTest","clickingWhomCouldIKnow","clickingWhomCouldIKnow()",""
