"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 06 14:19:49 GMT 2021","Fri Aug 06 14:19:52 GMT 2021","3086","","repeatedAndSequentialDataInputFromSource.DataInputFromSourceTest","","repeatedAndSequentialDataInputFromSource.DataInputFromSourceTest","DataInputFromSource","DataInputFromSource()",""
"broken","Fri Aug 06 14:19:55 GMT 2021","Fri Aug 06 14:19:58 GMT 2021","3003","","logout.LogOutTest","","logout.LogOutTest","LogOutTest","LogOutTest()",""
"broken","Fri Aug 06 14:19:48 GMT 2021","Fri Aug 06 14:19:52 GMT 2021","3153","","dataAndDatasDeleting.PictureUploadAndDeleteTest","","dataAndDatasDeleting.PictureUploadAndDeleteTest","ModificationTest","ModificationTest()",""
"broken","Fri Aug 06 14:20:16 GMT 2021","Fri Aug 06 14:20:19 GMT 2021","3003","","registration.RegTest","","registration.RegTest","Registration","Registration()",""
"broken","Fri Aug 06 14:20:10 GMT 2021","Fri Aug 06 14:20:13 GMT 2021","3003","","login.LoginTest","","login.LoginTest","Login","Login()",""
"broken","Fri Aug 06 14:20:13 GMT 2021","Fri Aug 06 14:20:16 GMT 2021","3005","","privacyStatementUsage.StatementTest","","privacyStatementUsage.StatementTest","StatementReadingSaving","StatementReadingSaving()",""
"broken","Fri Aug 06 14:19:52 GMT 2021","Fri Aug 06 14:19:55 GMT 2021","3004","","listingDatas.DatasListingTest","","listingDatas.DatasListingTest","clickingWhomCouldIKnow","clickingWhomCouldIKnow()",""
"broken","Fri Aug 06 14:20:07 GMT 2021","Fri Aug 06 14:20:10 GMT 2021","3003","","severalPagesAccessing.turnOverTest","","severalPagesAccessing.turnOverTest","searchingForFriends","searchingForFriends()",""
"broken","Fri Aug 06 14:20:04 GMT 2021","Fri Aug 06 14:20:07 GMT 2021","3003","","newDataInput.InputNewDataTest","","newDataInput.InputNewDataTest","writeANewMessage","writeANewMessage()",""
"broken","Fri Aug 06 14:20:01 GMT 2021","Fri Aug 06 14:20:04 GMT 2021","3003","","dataDownloading.DownloadAgisInformationTest","","dataDownloading.DownloadAgisInformationTest","DownloadAgisInformation","DownloadAgisInformation()",""
"broken","Fri Aug 06 14:19:58 GMT 2021","Fri Aug 06 14:20:01 GMT 2021","3002","","dataModification.ModificationTest","","dataModification.ModificationTest","ModificationTest","ModificationTest()",""
