"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 09 11:58:02 GMT 2021","Mon Aug 09 11:58:21 GMT 2021","18668","","repeatedAndSequentialDataInputFromSource.DataInputFromSourceTest","","repeatedAndSequentialDataInputFromSource.DataInputFromSourceTest","DataInputFromSource","DataInputFromSource()",""
"passed","Mon Aug 09 11:58:21 GMT 2021","Mon Aug 09 11:58:48 GMT 2021","27053","","listingDatas.DatasListingTest","","listingDatas.DatasListingTest","clickingWhomCouldIKnow","clickingWhomCouldIKnow()",""
"failed","Mon Aug 09 12:00:20 GMT 2021","Mon Aug 09 12:00:42 GMT 2021","21963","","dataAndDatasDeleting.PictureUploadAndDeleteTest","","dataAndDatasDeleting.PictureUploadAndDeleteTest","ModificationTest","ModificationTest()",""
"passed","Mon Aug 09 12:00:59 GMT 2021","Mon Aug 09 12:01:17 GMT 2021","17485","","registration.RegTest","","registration.RegTest","Registration","Registration()",""
"passed","Mon Aug 09 11:58:48 GMT 2021","Mon Aug 09 11:59:02 GMT 2021","14152","","logout.LogOutTest","","logout.LogOutTest","LogOutTest","LogOutTest()",""
"passed","Mon Aug 09 11:59:34 GMT 2021","Mon Aug 09 11:59:56 GMT 2021","22274","","newDataInput.InputNewDataTest","","newDataInput.InputNewDataTest","writeANewMessage","writeANewMessage()",""
"passed","Mon Aug 09 12:00:50 GMT 2021","Mon Aug 09 12:00:59 GMT 2021","8823","","privacyStatementUsage.StatementTest","","privacyStatementUsage.StatementTest","StatementReadingSaving","StatementReadingSaving()",""
"passed","Mon Aug 09 11:59:02 GMT 2021","Mon Aug 09 11:59:19 GMT 2021","16105","","dataModification.ModificationTest","","dataModification.ModificationTest","ModificationTest","ModificationTest()",""
"passed","Mon Aug 09 12:00:42 GMT 2021","Mon Aug 09 12:00:50 GMT 2021","8400","","login.LoginTest","","login.LoginTest","Login","Login()",""
"passed","Mon Aug 09 11:59:56 GMT 2021","Mon Aug 09 12:00:20 GMT 2021","23534","","severalPagesAccessing.turnOverTest","","severalPagesAccessing.turnOverTest","searchingForFriends","searchingForFriends()",""
"passed","Mon Aug 09 11:59:19 GMT 2021","Mon Aug 09 11:59:34 GMT 2021","15479","","dataDownloading.DownloadAgisInformationTest","","dataDownloading.DownloadAgisInformationTest","DownloadAgisInformation","DownloadAgisInformation()",""
