"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 06 21:37:24 GMT 2021","Fri Aug 06 21:37:38 GMT 2021","14638","","logout.LogOutTest","","logout.LogOutTest","LogOutTest","LogOutTest()",""
"passed","Fri Aug 06 21:37:53 GMT 2021","Fri Aug 06 21:38:08 GMT 2021","14503","","dataDownloading.DownloadAgisInformationTest","","dataDownloading.DownloadAgisInformationTest","DownloadAgisInformation","DownloadAgisInformation()",""
"passed","Fri Aug 06 21:36:59 GMT 2021","Fri Aug 06 21:37:24 GMT 2021","25198","","listingDatas.DatasListingTest","","listingDatas.DatasListingTest","clickingWhomCouldIKnow","clickingWhomCouldIKnow()",""
"passed","Fri Aug 06 21:39:20 GMT 2021","Fri Aug 06 21:39:31 GMT 2021","10798","","privacyStatementUsage.StatementTest","","privacyStatementUsage.StatementTest","StatementReadingSaving","StatementReadingSaving()",""
"broken","Fri Aug 06 21:38:54 GMT 2021","Fri Aug 06 21:39:09 GMT 2021","15391","","dataAndDatasDeleting.PictureUploadAndDeleteTest","","dataAndDatasDeleting.PictureUploadAndDeleteTest","ModificationTest","ModificationTest()",""
"passed","Fri Aug 06 21:38:29 GMT 2021","Fri Aug 06 21:38:54 GMT 2021","24191","","severalPagesAccessing.turnOverTest","","severalPagesAccessing.turnOverTest","searchingForFriends","searchingForFriends()",""
"passed","Fri Aug 06 21:38:08 GMT 2021","Fri Aug 06 21:38:29 GMT 2021","21889","","newDataInput.InputNewDataTest","","newDataInput.InputNewDataTest","writeANewMessage","writeANewMessage()",""
"passed","Fri Aug 06 21:36:41 GMT 2021","Fri Aug 06 21:36:58 GMT 2021","17782","","repeatedAndSequentialDataInputFromSource.DataInputFromSourceTest","","repeatedAndSequentialDataInputFromSource.DataInputFromSourceTest","DataInputFromSource","DataInputFromSource()",""
"passed","Fri Aug 06 21:37:38 GMT 2021","Fri Aug 06 21:37:53 GMT 2021","14520","","dataModification.ModificationTest","","dataModification.ModificationTest","ModificationTest","ModificationTest()",""
"broken","Fri Aug 06 21:39:31 GMT 2021","Fri Aug 06 21:39:47 GMT 2021","15306","","registration.RegTest","","registration.RegTest","Registration","Registration()",""
"passed","Fri Aug 06 21:39:09 GMT 2021","Fri Aug 06 21:39:20 GMT 2021","11426","","login.LoginTest","","login.LoginTest","Login","Login()",""
