"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 22 18:55:04 GMT 2021","Sun Aug 22 18:55:18 GMT 2021","14192","","registration.RegTest","","registration.RegTest","RegistrationTest","Sikeres regisztráció automatizálásának a tesztelése",""
"passed","Sun Aug 22 18:53:56 GMT 2021","Sun Aug 22 18:54:23 GMT 2021","26992","","severalPagesAccessing.turnOverTest","","severalPagesAccessing.turnOverTest","SearchingForFriendsAdvancedTest","Részletes keresés és lapozás tesztelése",""
"failed","Sun Aug 22 18:54:23 GMT 2021","Sun Aug 22 18:54:46 GMT 2021","22514","","dataAndDatasDeleting.PictureUploadAndDeleteTest","","dataAndDatasDeleting.PictureUploadAndDeleteTest","PictureUploadAndDeleteTesting","Új kép feltöltése, törlése és pontos számozása",""
"passed","Sun Aug 22 18:53:16 GMT 2021","Sun Aug 22 18:53:32 GMT 2021","15980","","dataDownloading.DownloadAgisInformationTest","","dataDownloading.DownloadAgisInformationTest","DownloadAgisInformationTesting","MyVIP Ági nevének letöltése",""
"passed","Sun Aug 22 18:53:32 GMT 2021","Sun Aug 22 18:53:56 GMT 2021","23669","","newDataInput.InputNewDataTest","","newDataInput.InputNewDataTest","WritingAMessageTest","Levél írásának tesztelése",""
"passed","Sun Aug 22 18:52:16 GMT 2021","Sun Aug 22 18:52:44 GMT 2021","28617","","listingDatas.DatasListingTest","","listingDatas.DatasListingTest","ClickingWhomCouldIKnowTest","Nevek kilistázása",""
"passed","Sun Aug 22 18:51:45 GMT 2021","Sun Aug 22 18:52:16 GMT 2021","30311","","repeatedAndSequentialDataInputFromSource.DataInputFromSourceTest","","repeatedAndSequentialDataInputFromSource.DataInputFromSourceTest","ShareSomethingOnTheWallTest","Posztolás tesztelése egy megadott fájlból",""
"passed","Sun Aug 22 18:54:46 GMT 2021","Sun Aug 22 18:54:55 GMT 2021","9334","","login.LoginTest","","login.LoginTest","LoginTesting","Sikeres belépés tesztelése",""
"passed","Sun Aug 22 18:54:55 GMT 2021","Sun Aug 22 18:55:04 GMT 2021","9340","","privacyStatementUsage.StatementTest","","privacyStatementUsage.StatementTest","StatementReadingSavingTest","Adatvédelmi nyilatkozat használatának tesztelése",""
"passed","Sun Aug 22 18:52:59 GMT 2021","Sun Aug 22 18:53:16 GMT 2021","17063","","dataModification.ModificationTest","","dataModification.ModificationTest","ModificationOurProfilTest","Profil adatainak módosítása",""
"passed","Sun Aug 22 18:52:44 GMT 2021","Sun Aug 22 18:52:59 GMT 2021","15041","","logout.LogOutTest","","logout.LogOutTest","LoggingOutTest","Sikeres kilépés tesztelése",""
