"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 06 21:14:13 GMT 2021","Fri Aug 06 21:14:17 GMT 2021","3171","","newDataInput.InputNewDataTest","","newDataInput.InputNewDataTest","writeANewMessage","writeANewMessage()",""
"broken","Fri Aug 06 21:14:29 GMT 2021","Fri Aug 06 21:14:32 GMT 2021","3131","","registration.RegTest","","registration.RegTest","Registration","Registration()",""
"broken","Fri Aug 06 21:14:01 GMT 2021","Fri Aug 06 21:14:04 GMT 2021","3178","","listingDatas.DatasListingTest","","listingDatas.DatasListingTest","clickingWhomCouldIKnow","clickingWhomCouldIKnow()",""
"broken","Fri Aug 06 21:14:07 GMT 2021","Fri Aug 06 21:14:10 GMT 2021","3146","","dataModification.ModificationTest","","dataModification.ModificationTest","ModificationTest","ModificationTest()",""
"broken","Fri Aug 06 21:14:10 GMT 2021","Fri Aug 06 21:14:13 GMT 2021","3131","","dataDownloading.DownloadAgisInformationTest","","dataDownloading.DownloadAgisInformationTest","DownloadAgisInformation","DownloadAgisInformation()",""
"broken","Fri Aug 06 21:14:04 GMT 2021","Fri Aug 06 21:14:07 GMT 2021","3133","","logout.LogOutTest","","logout.LogOutTest","LogOutTest","LogOutTest()",""
"broken","Fri Aug 06 21:14:26 GMT 2021","Fri Aug 06 21:14:29 GMT 2021","3159","","privacyStatementUsage.StatementTest","","privacyStatementUsage.StatementTest","StatementReadingSaving","StatementReadingSaving()",""
"broken","Fri Aug 06 21:14:23 GMT 2021","Fri Aug 06 21:14:26 GMT 2021","3152","","login.LoginTest","","login.LoginTest","Login","Login()",""
"broken","Fri Aug 06 21:14:17 GMT 2021","Fri Aug 06 21:14:20 GMT 2021","3158","","severalPagesAccessing.turnOverTest","","severalPagesAccessing.turnOverTest","searchingForFriends","searchingForFriends()",""
"broken","Fri Aug 06 21:14:20 GMT 2021","Fri Aug 06 21:14:23 GMT 2021","3156","","dataAndDatasDeleting.PictureUploadAndDeleteTest","","dataAndDatasDeleting.PictureUploadAndDeleteTest","ModificationTest","ModificationTest()",""
"broken","Fri Aug 06 21:13:51 GMT 2021","Fri Aug 06 21:14:01 GMT 2021","10050","","repeatedAndSequentialDataInputFromSource.DataInputFromSourceTest","","repeatedAndSequentialDataInputFromSource.DataInputFromSourceTest","DataInputFromSource","DataInputFromSource()",""
