"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 08 17:57:45 GMT 2021","Sun Aug 08 17:57:58 GMT 2021","13516","","dataAndDatasDeleting.PictureUploadAndDeleteTest","","dataAndDatasDeleting.PictureUploadAndDeleteTest","ModificationTest","ModificationTest()",""
"broken","Sun Aug 08 17:57:31 GMT 2021","Sun Aug 08 17:57:45 GMT 2021","13703","","severalPagesAccessing.turnOverTest","","severalPagesAccessing.turnOverTest","searchingForFriends","searchingForFriends()",""
"passed","Sun Aug 08 17:57:58 GMT 2021","Sun Aug 08 17:58:07 GMT 2021","8480","","login.LoginTest","","login.LoginTest","Login","Login()",""
"broken","Sun Aug 08 17:56:36 GMT 2021","Sun Aug 08 17:56:50 GMT 2021","13628","","logout.LogOutTest","","logout.LogOutTest","LogOutTest","LogOutTest()",""
"broken","Sun Aug 08 17:56:18 GMT 2021","Sun Aug 08 17:56:36 GMT 2021","18559","","listingDatas.DatasListingTest","","listingDatas.DatasListingTest","clickingWhomCouldIKnow","clickingWhomCouldIKnow()",""
"passed","Sun Aug 08 17:58:07 GMT 2021","Sun Aug 08 17:58:17 GMT 2021","9721","","privacyStatementUsage.StatementTest","","privacyStatementUsage.StatementTest","StatementReadingSaving","StatementReadingSaving()",""
"broken","Sun Aug 08 17:57:18 GMT 2021","Sun Aug 08 17:57:31 GMT 2021","13551","","newDataInput.InputNewDataTest","","newDataInput.InputNewDataTest","writeANewMessage","writeANewMessage()",""
"broken","Sun Aug 08 17:57:03 GMT 2021","Sun Aug 08 17:57:18 GMT 2021","14170","","dataDownloading.DownloadAgisInformationTest","","dataDownloading.DownloadAgisInformationTest","DownloadAgisInformation","DownloadAgisInformation()",""
"broken","Sun Aug 08 17:55:52 GMT 2021","Sun Aug 08 17:56:18 GMT 2021","26100","","repeatedAndSequentialDataInputFromSource.DataInputFromSourceTest","","repeatedAndSequentialDataInputFromSource.DataInputFromSourceTest","DataInputFromSource","DataInputFromSource()",""
"broken","Sun Aug 08 17:56:50 GMT 2021","Sun Aug 08 17:57:03 GMT 2021","13462","","dataModification.ModificationTest","","dataModification.ModificationTest","ModificationTest","ModificationTest()",""
"passed","Sun Aug 08 17:58:17 GMT 2021","Sun Aug 08 17:58:35 GMT 2021","18453","","registration.RegTest","","registration.RegTest","Registration","Registration()",""
